,Country_Name,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014
5710,Palestine,-0.234,-0.579,-1.083,-0.218,-0.001,0.037,-0.312,0.022,-0.18,-0.11,0.403,-1.05,-0.359,0.811,-0.152,0.334,-0.125,0.894,0.908,0.312,0.93,0.806,0.643,0.621,0.258,0.645,0.582,0.788,0.898,2.391,0.648,1.11,1.194,0.94
5744,Panama,0.313,0.383,0.866,-0.015,-0.169,0.13,0.568,0.167,0.064,0.362,0.463,0.325,0.355,0.362,0.552,0.209,0.508,0.839,-0.249,-0.02,0.361,0.661,0.695,0.479,0.509,0.55,0.461,0.248,0.767,0.784,0.393,0.792,0.912,0.703
5778,Papua New Guinea,0.239,-0.151,0.325,0.247,0.157,0.278,0.334,0.608,0.368,0.35,0.292,0.473,0.35,0.325,0.617,0.62,0.162,1.029,0.396,0.482,0.625,0.706,0.677,0.248,0.685,0.293,0.436,0.41,0.321,1.05,0.454,0.32,0.791,0.369
5812,Paraguay,0.345,0.301,-0.355,0.454,0.339,0.813,0.138,-0.087,-0.15,-0.004,0.619,-0.433,0.18,0.839,0.564,0.117,0.905,0.191,0.062,0.102,0.526,0.913,0.615,0.272,0.383,0.765,0.106,0.104,0.754,0.213,0.455,0.707,0.228,1.027
5846,Peru,0.107,0.247,1.401,0.276,0.182,0.216,0.941,0.558,0.125,0.474,0.583,0.849,0.562,0.617,0.851,0.235,1.0,1.333,0.383,0.46,0.506,0.778,0.733,0.675,0.789,0.776,0.559,0.584,0.851,1.078,0.774,0.824,0.608,0.785
5880,Philippines,0.2,0.136,0.608,0.155,0.34,0.251,0.531,0.801,0.265,0.422,0.378,0.411,0.373,0.435,0.465,0.368,0.43,1.228,0.451,0.581,0.727,0.624,0.702,0.586,0.671,0.716,0.754,0.423,0.578,0.925,0.479,0.779,0.914,0.775
5914,Pitcairn,-0.134,-0.038,-0.693,0.193,0.39,0.174,-0.231,0.027,0.34,0.118,-0.305,-0.415,-0.594,-0.234,-0.077,-0.29,-0.309,-0.501,,0.438,0.195,0.534,-0.12,-0.516,-0.287,0.473,0.048,-0.033,-0.195,-0.003,,,,
5948,Poland,0.443,0.329,1.455,0.241,-1.042,0.018,-1.079,0.68,1.692,1.707,0.409,1.143,0.067,1.368,1.105,-0.794,0.002,0.942,1.196,1.878,1.277,1.692,0.356,0.769,0.866,0.817,2.127,1.73,1.248,0.372,0.736,1.355,0.622,2.32
5982,Portugal,0.552,0.564,0.296,-0.118,0.534,0.099,0.747,0.631,1.125,1.405,0.441,0.431,-0.202,0.675,1.648,0.72,1.559,1.151,0.561,0.613,1.12,0.622,1.405,0.972,0.941,1.498,0.717,0.602,1.381,1.094,1.577,0.767,0.905,1.308
6016,Puerto Rico,0.572,0.178,0.577,0.198,-0.013,0.145,0.642,0.548,0.057,0.469,0.353,0.3,0.473,0.677,0.724,0.467,0.668,1.232,0.679,0.28,0.773,0.884,1.002,0.547,0.847,0.737,0.988,0.45,0.661,1.177,0.574,0.788,0.79,0.926
6050,Qatar,0.529,-0.231,-0.935,-0.049,0.277,0.431,0.307,0.419,-0.14,0.271,-0.226,-0.577,-0.024,0.614,0.014,0.45,0.022,1.12,1.697,0.938,0.964,1.441,1.163,1.206,0.817,1.625,0.953,1.125,1.073,1.917,1.402,1.332,1.186,1.575
6084,Republic of Korea,-0.752,0.437,0.468,-0.265,0.282,-0.743,0.395,0.277,0.804,1.251,0.302,0.637,0.055,1.276,0.449,0.0,0.747,1.496,1.065,0.445,0.92,0.683,0.662,1.235,0.969,0.538,1.304,0.993,0.989,0.542,0.347,0.419,0.522,1.027
6118,Republic of Moldova,,,,,,,,,,,,0.472,-0.666,1.644,0.627,-0.659,-0.432,0.808,0.921,1.484,1.697,1.438,-0.197,0.72,0.873,0.287,2.387,1.545,1.779,1.331,0.451,2.052,1.325,1.399
6152,Réunion,,0.057,0.258,-0.194,0.243,0.069,0.688,0.538,0.266,0.263,0.392,0.302,0.28,0.484,0.259,0.093,0.205,0.945,0.32,0.376,0.822,0.498,0.618,0.621,0.438,0.264,0.475,0.323,0.867,0.787,,0.753,0.672,1.056
